201901,77,65,84
201902,73,89,87
201903,83,73,72
201904,64,71,78
201905,75,61,73
201906,74,62,89
201907,76,87,85
201908,89,65,86
201909,73,78,78
201910,68,80,93
201911,62,70,88
201912,66,66,67
201913,89,92,86
201914,82,85,76
201915,71,76,85
201916,79,77,90
201917,64,80,82
201918,65,80,72
201919,60,94,93
201920,95,60,75
201921,91,84,70
201922,80,79,85
201923,72,91,62
201924,67,61,63
201925,77,63,90
201926,60,93,64
201927,91,91,67
201928,95,75,66
201929,81,83,61
201930,87,67,61
201931,91,78,87
201932,70,64,61
201933,94,83,74
201934,79,65,80
201935,73,69,61
201936,75,62,76
201937,81,73,90
201938,75,74,79
201939,95,81,78
201940,81,90,60
201941,74,84,71
201942,60,92,72
201943,74,60,67
